Transaction_ID,Transaction_Date,Store_ID,Store_Name,Region,State,City,Customer_ID,Customer_Type,Product_ID,Product_Name,Category,Sub_Category,Unit_Cost,Unit_Price,Quantity,Promotion,Discount,Revenue,Cost,Profit,Payment_Mode,Return_Flag
TRX026247,2023-01-01 00:00:00,ST004,Valley Center,West,California,San Jose,C1343,New,PRD11,Kids Sneakers,Clothing,Kids,10,35,3,,0.0,105.0,30,75.0,Cash,N
TRX010319,2023-01-01 00:00:00,ST009,Mountain View,West,Colorado,Denver,C1293,New,PRD02,Basic Laptop 13,Electronics,Laptops,300,500,3,,0.0,1500.0,900,600.0,Credit Card,N
TRX010313,2023-01-01 00:00:00,ST002,Midtown Mall,East,New York,New York,GUEST,Guest,PRD03,Flagship Phone,Electronics,Smartphones,500,999,1,,0.0,999.0,500,499.0,Credit Card,N
TRX018714,2023-01-01 00:00:00,ST008,Sunshine Mall,South,Florida,Miami,C3243,New,PRD02,Basic Laptop 13,Electronics,Laptops,300,500,2,,0.0,1000.0,600,400.0,Credit Card,N
TRX018720,2023-01-01 00:00:00,ST010,Capitol Store,East,Washington,Seattle,GUEST,Guest,PRD19,Sparkling Water,Groceries,Beverages,1,3,1,,0.0,3.0,1,2.0,Debit Card,N
TRX056679,2023-01-01 00:00:00,ST004,Valley Center,West,California,San Jose,C5537,Regular,PRD13,Bookshelf,Home & Garden,Furniture,40,120,1,,0.0,120.0,40,80.0,Credit Card,N
TRX026298,2023-01-01 00:00:00,ST003,Westside Plaza,West,California,Los Angeles,C8683,Regular,PRD17,Organic Chips,Groceries,Snacks,2,5,2,,0.0,10.0,4,6.0,Credit Card,N
TRX018800,2023-01-01 00:00:00,ST007,Gulf Coast Shop,South,Texas,Austin,GUEST,Guest,PRD03,Flagship Phone,Electronics,Smartphones,500,999,5,Holiday Sale,749.25,4245.75,2500,1745.75,Mobile App,N
TRX036370,2023-01-01 00:00:00,ST002,Midtown Mall,East,New York,New York,C5048,Regular,PRD19,Sparkling Water,Groceries,Beverages,1,3,1,,0.0,3.0,1,2.0,Cash,N
TRX071817,2023-01-01 00:00:00,ST003,Westside Plaza,West,California,Los Angeles,C1748,Regular,PRD08,Jeans,Clothing,Mens,20,60,1,,0.0,60.0,20,40.0,Cash,N
TRX013944,2023-01-01 00:00:00,ST001,Downtown Superstore,East,New York,New York,C7953,Regular,PRD12,Office Chair,Home & Garden,Furniture,50,150,1,Holiday Sale,22.5,127.5,50,77.5,Credit Card,N
TRX043460,2023-01-01 00:00:00,ST001,Downtown Superstore,East,New York,New York,C4445,Regular,PRD17,Organic Chips,Groceries,Snacks,2,5,2,Clearance,3.0,7.0,4,3.0,Debit Card,N
TRX056517,2023-01-01 00:00:00,ST004,Valley Center,West,California,San Jose,C2115,Regular,PRD11,Kids Sneakers,Clothing,Kids,10,35,10,,0.0,350.0,100,250.0,Credit Card,N
TRX018911,2023-01-01 00:00:00,ST006,Southern Outlet,South,Texas,Houston,C4708,Premium,PRD05,Wireless Earbuds,Electronics,Accessories,30,99,1,,4.95,94.05,30,64.05,Credit Card,N
TRX026134,2023-01-01 00:00:00,ST006,Southern Outlet,South,Texas,Houston,C6829,Regular,PRD01,Pro Laptop 15,Electronics,Laptops,800,1200,1,,0.0,1200.0,800,400.0,Credit Card,N
TRX043701,2023-01-01 00:00:00,ST008,Sunshine Mall,South,Florida,Miami,C9197,Premium,PRD15,Wall Art,Home & Garden,Decor,25,75,3,Weekend Special,33.75,191.25,75,116.25,Credit Card,N
TRX072350,2023-01-01 00:00:00,ST001,Downtown Superstore,East,New York,New York,C7915,Regular,PRD12,Office Chair,Home & Garden,Furniture,50,150,1,,0.0,150.0,50,100.0,Gift Card,N
TRX055854,2023-01-01 00:00:00,ST001,Downtown Superstore,East,New York,New York,C4361,Regular,PRD05,Wireless Earbuds,Electronics,Accessories,30,99,1,BOGO,49.5,49.5,30,19.5,Credit Card,N
TRX057053,2023-01-01 00:00:00,ST010,Capitol Store,East,Washington,Seattle,C1353,Regular,PRD11,Kids Sneakers,Clothing,Kids,10,35,1,Weekend Special,3.5,31.5,10,21.5,Credit Card,N
TRX098755,2023-01-01 00:00:00,ST005,Northern Hub,Midwest,Illinois,Chicago,C9412,New,PRD13,Bookshelf,Home & Garden,Furniture,40,120,4,,0.0,480.0,160,320.0,Debit Card,N
TRX057055,2023-01-01 00:00:00,ST003,Westside Plaza,West,California,Los Angeles,C1523,New,PRD14,Table Lamp,Home & Garden,Decor,15,40,1,BOGO,20.0,20.0,15,5.0,Debit Card,N
TRX057117,2023-01-01 00:00:00,ST005,Northern Hub,Midwest,Illinois,Chicago,C4235,New,PRD08,Jeans,Clothing,Mens,20,60,4,,0.0,240.0,80,160.0,Credit Card,N
TRX085269,2023-01-01 00:00:00,ST008,Sunshine Mall,South,Florida,Miami,C5639,Regular,PRD09,Summer Dress,Clothing,Womens,15,45,2,,0.0,90.0,30,60.0,Mobile App,N
TRX042504,2023-01-01 00:00:00,ST006,Southern Outlet,South,Texas,Houston,C5905,New,PRD03,Flagship Phone,Electronics,Smartphones,500,999,1,,0.0,999.0,500,499.0,Gift Card,N
TRX057751,2023-01-01 00:00:00,ST010,Capitol Store,East,Washington,Seattle,C7246,New,PRD08,Jeans,Clothing,Mens,20,60,1,Weekend Special,6.0,54.0,20,34.0,Debit Card,N
TRX085215,2023-01-01 00:00:00,ST009,Mountain View,West,Colorado,Denver,C3386,Premium,PRD13,Bookshelf,Home & Garden,Furniture,40,120,1,,6.0,114.0,40,74.0,Debit Card,N
TRX070637,2023-01-01 00:00:00,ST005,Northern Hub,Midwest,Illinois,Chicago,C2296,New,PRD03,Flagship Phone,Electronics,Smartphones,500,999,1,Weekend Special,99.9,899.1,500,399.1,Credit Card,N
TRX042560,2023-01-01 00:00:00,ST003,Westside Plaza,West,California,Los Angeles,C2714,Premium,PRD07,Cotton T-Shirt,Clothing,Mens,5,20,3,Weekend Special,9.0,51.0,15,36.0,Debit Card,N
TRX042566,2023-01-01 00:00:00,ST001,Downtown Superstore,East,New York,New York,C1993,New,PRD06,Smart Watch,Electronics,Accessories,100,250,1,,0.0,250.0,100,150.0,Mobile App,N
TRX085153,2023-01-01 00:00:00,ST010,Capitol Store,East,Washington,Seattle,C2518,Regular,PRD14,Table Lamp,Home & Garden,Decor,15,40,3,Weekend Special,12.0,108.0,45,63.0,Debit Card,N
TRX085140,2023-01-01 00:00:00,ST004,Valley Center,West,California,San Jose,UNKNOWN,Premium,PRD05,Wireless Earbuds,Electronics,Accessories,30,99,1,,4.95,94.05,30,64.05,Credit Card,N
TRX070823,2023-01-01 00:00:00,ST006,Southern Outlet,South,Texas,Houston,C7348,Regular,PRD04,Budget Phone,Electronics,Smartphones,150,299,1,,0.0,299.0,150,149.0,Cash,N
TRX034596,2023-01-01 00:00:00,ST003,Westside Plaza,West,California,Los Angeles,GUEST,Guest,PRD16,Planter Set,Home & Garden,Garden,20,50,1,,0.0,50.0,20,30.0,Credit Card,N
TRX071122,2023-01-01 00:00:00,ST010,Capitol Store,East,Washington,Seattle,C8117,Regular,PRD07,Cotton T-Shirt,Clothing,Mens,5,20,1,Weekend Special,2.0,18.0,5,13.0,Mobile App,N
TRX039067,2023-01-01 00:00:00,ST003,Westside Plaza,West,California,Los Angeles,C7726,New,PRD20,Craft Coffee,Groceries,Beverages,5,15,10,Weekend Special,15.0,135.0,50,85.0,Credit Card,N
TRX026540,2023-01-01 00:00:00,ST005,Northern Hub,Midwest,Illinois,Chicago,C5997,Regular,PRD01,Pro Laptop 15,Electronics,Laptops,800,1200,1,,0.0,1200.0,800,400.0,Mobile App,N
TRX063386,2023-01-01 00:00:00,ST005,Northern Hub,Midwest,Illinois,Chicago,C6240,Regular,PRD03,Flagship Phone,Electronics,Smartphones,500,999,1,Holiday Sale,149.85,849.15,500,349.15,Credit Card,N
TRX032962,2023-01-01 00:00:00,ST001,Downtown Superstore,East,New York,New York,C5297,New,PRD07,Cotton T-Shirt,Clothing,Mens,5,20,1,Holiday Sale,3.0,17.0,5,12.0,Credit Card,N
TRX042936,2023-01-01 00:00:00,ST009,Mountain View,West,Colorado,Denver,C1486,Premium,PRD10,Designer Blouse,Clothing,Womens,30,80,3,,12.0,228.0,90,138.0,Credit Card,N
TRX026510,2023-01-01 00:00:00,ST003,Westside Plaza,West,California,Los Angeles,C3900,New,PRD03,Flagship Phone,Electronics,Smartphones,500,999,3,,0.0,2997.0,1500,1497.0,Cash,N
TRX070415,2023-01-01 00:00:00,ST010,Capitol Store,East,Washington,Seattle,GUEST,Guest,PRD14,Table Lamp,Home & Garden,Decor,15,40,1,Holiday Sale,6.0,34.0,15,19.0,Debit Card,N
TRX055794,2023-01-01 00:00:00,ST002,Midtown Mall,East,New York,New York,C4940,Premium,PRD08,Jeans,Clothing,Mens,20,60,1,,3.0,57.0,20,37.0,Credit Card,Y
TRX088546,2023-01-01 00:00:00,ST006,Southern Outlet,South,Texas,Houston,C5324,New,PRD04,Budget Phone,Electronics,Smartphones,150,299,1,,0.0,299.0,150,149.0,Credit Card,N
TRX003650,2023-01-01 00:00:00,ST005,Northern Hub,Midwest,Illinois,Chicago,GUEST,Guest,PRD11,Kids Sneakers,Clothing,Kids,10,35,10,Holiday Sale,52.5,297.5,100,197.5,Debit Card,N
